     0.0000   0.9959   0.9958   1.0000
    25.0000   0.9848   0.9844   0.9919
    50.0000   0.9702   0.9694   0.9805
    75.0000   0.9518   0.9506   0.9652
   100.0000   0.9292   0.9275   0.9457
   125.0000   0.9023   0.9000   0.9213
   150.0000   0.8709   0.8681   0.8920
   175.0000   0.8351   0.8318   0.8575
   200.0000   0.7951   0.7914   0.8179
   225.0000   0.7512   0.7472   0.7735
   250.0000   0.7040   0.6998   0.7249
   275.0000   0.6542   0.6499   0.6727
   300.0000   0.6024   0.5983   0.6178
   325.0000   0.5495   0.5457   0.5612
   350.0000   0.4964   0.4930   0.5040
   375.0000   0.4438   0.4411   0.4473
   400.0000   0.3927   0.3908   0.3921
   425.0000   0.3438   0.3427   0.3394
   450.0000   0.2977   0.2974   0.2900
   475.0000   0.2548   0.2554   0.2444
   500.0000   0.2157   0.2170   0.2033
   525.0000   0.1804   0.1824   0.1667
   550.0000   0.1491   0.1517   0.1348
   575.0000   0.1218   0.1247   0.1074
   600.0000   0.0983   0.1015   0.0844
   625.0000   0.0783   0.0817   0.0653
   650.0000   0.0616   0.0650   0.0498
   675.0000   0.0479   0.0512   0.0374
   700.0000   0.0367   0.0399   0.0277
   725.0000   0.0278   0.0307   0.0202
   750.0000   0.0208   0.0234   0.0145
   775.0000   0.0154   0.0176   0.0102
   800.0000   0.0112   0.0132   0.0071
   825.0000   0.0081   0.0097   0.0049
   850.0000   0.0057   0.0071   0.0033
   875.0000   0.0040   0.0051   0.0022
   900.0000   0.0028   0.0037   0.0014
   925.0000   0.0019   0.0027   0.0009
   950.0000   0.0014   0.0020   0.0006
   975.0000   0.0011   0.0016   0.0004
